county,average sat score,per capita income
Lancaster,1510.75,25854
Luzerne,1416.2307692307693,23245
Perry,1455.25,23701
Cumberland,1548.625,30119
Susquehanna,1476.5,22173
Union,1592.0,21612
Lebanon,1472.3333333333333,25525
Delaware,1456.1333333333334,32067
Philadelphia,1175.7894736842106,21117
Montgomery,1581.2173913043478,40076
Lawrence,1421.75,21467
Jefferson,1444.0,20305
Forest,1340.0,14325
Butler,1537.0,28446
Indiana,1455.0,20587
Somerset,1421.090909090909,19903
Warren,1418.2,22170
Dauphin,1436.4285714285713,27727
Juniata,1443.0,20682
Tioga,1383.0,20358
Montour,1548.0,26124
Columbia,1471.142857142857,22403
Centre,1546.75,23744
Crawford,1467.1666666666667,20383
Blair,1476.7142857142858,22880
Fayette,1377.3333333333333,19209
Cambria,1439.1666666666667,21278
York,1459.842105263158,27196
Franklin,1396.1666666666667,25307
Carbon,1421.3333333333333,22956
Potter,1479.5,20594
Pike,1529.0,27564
Venango,1404.8,20522
Bradford,1455.4285714285713,20979
Bedford,1449.6,20545
Wyoming,1469.5,22899
Adams,1481.3333333333333,25606
Clearfield,1401.142857142857,20142
Northumberland,1422.8333333333333,20654
Clarion,1441.142857142857,20259
Greene,1392.0,20258
Mifflin,1500.0,19085
Westmoreland,1461.111111111111,25845
Beaver,1450.7333333333333,24168
Berks,1450.7894736842106,25518
Elk,1452.0,22729
Fulton,1432.6666666666667,21739
Lackawanna,1440.090909090909,24152
Erie,1398.2941176470588,22644
Clinton,1369.0,19261
Armstrong,1410.0,21828
Sullivan,1441.0,19718
Lycoming,1487.625,21802
Huntingdon,1383.0,20616
Northampton,1501.7272727272727,28362
Washington,1437.5714285714287,26045
Snyder,1458.5,21072
Schuylkill,1428.1818181818182,21408
Lehigh,1407.3076923076924,27301
Wayne,1483.5,22525
Cameron,1409.0,21375
Bucks,1530.8235294117646,35687
Allegheny,1422.2037037037037,29549
McKean,1430.4,21022
Mercer,1375.5,21765
Monroe,1424.2857142857142,24824
Chester,1558.75,41251
