LEAAUNumber,LEAInstName,LEACategory,LEAIUNumber,LEAIU,LEACountyName,LEAStatus,LEAStatusEffectiveDate,LEAWebAddress,LEAMailingAddressLine1,LEAMailingAddressLine2,LEAMailingCity,LEAMailingState,LEAMailingZipCode,LEAMailingZipCodeExtn,LEALocationAddressLine1,LEALocationAddressLine2,LEALocationCity,LEALocationState,LEALocationZipCode,LEALocationZipCodeExtn,LEAPhoneNumber,LEAPhoneNumberExtn,LEAAdminTitle,LEAAdminSalutation,LEAAdminFirstName,LEAAdminMiddleInitial,LEAAdminLastName,LEAAdminSuffix,LEAAdminPhone,LEAAdminPhoneExtn,SchoolInstCtgyDesc,SchoolAUNNum,SchoolBranchNum,SchoolName,GradeYear,GradeList,GradeCtgy,K4_Half,K4_Full,K5_Half,K5_Full,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Elementary_Ungraded,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Secondary_Ungraded,SchoolCountyName,SchoolStatus,SchoolStatusEffDate,SchoolWebAddress,SchoolPhone,SchoolPhoneExtn,SchoolMailingAddressLine1,SchoolMailingAddressLine2,SchoolMailingCity,SchoolMailingState,SchoolMailingZipCode,SchoolMailingZipCodeExtn,SchoolLocationAddressLine1,SchoolLocationAddressLine2,SchoolLocationCity,SchoolLocationState,SchoolLocationZipCode,SchoolLocationZipCodeExtn,SchoolAdminTitle,SchoolAdminSalutation,SchoolAdminFirstName,SchoolAdminMiddleInitial,SchoolAdminLastName,SchoolAdminSuffix,CyberSchoolInd,
124150002,21st Century Cyber CS,Charter School                          ,24,Chester County IU 24,Chester,Open,06/21/2001,http://www.21stcenturycyber.org,126 Wallace Ave.,,Downingtown,PA,19335,    ,126 Wallace Ave.,,Downingtown,PA,19335,    ,(484)875-5400,,Chief Executive Officer,Ms,Kim,,McCully,,(484)875-5458,,Regular School,124150002,7691,21st Century Cyber CS,2015-2016,"6,7-12",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Chester,Open,07/09/2001,http://www.21cccs.org,(484)875-5400,,126 Wallace Ave.,,Downingtown,PA,19335,    ,126 Wallace Ave.,,Downingtown,PA,19335,    ,Chief Executive Officer,Ms,Kim,,McCully,,TRUE,
103020407,A W Beattie Career Center,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,07/06/1990,http://www.beattietech.com,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,(412)847-1900,,Executive Director,Mr,Eric,C,Heasley,,(412)847-1900,,Occupational CTC,103020407,5273,A W Beattie Career Center,2015-2016,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Allegheny,Open,09/06/1990,http://www.beattietech.com,(412)847-1900,,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,Executive Director,Mr,Eric,C,Heasley,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,2402,Waverly Sch,2015-2016,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lackawanna,Open,07/16/1992,,(570)585-6300,,103 Waverly Rd,,Waverly,PA,18471,    ,103 Waverly Rd,,Waverly,PA,18471,    ,Principal,Mr,Marc,,Wyandt,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,2407,Newton-Ransom Sch,2015-2016,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lackawanna,Open,07/17/1995,,(570)585-8300,,1549 Newton Ransom Boulevard,,Clarks Summit,PA,18411,9802,1549 Newton Ransom Boulevard,,Clarks Summit,PA,18411,9802,Principal,Dr,Amy,,Williams,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,5091,Abington Heights HS,2015-2016,9-12,SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Lackawanna,Open,09/01/1998,,(570)585-5300,,222 Noble Road,,Clarks Summit,PA,18411,    ,222 Noble Road,,Clarks Summit,PA,18411,    ,Principal,Dr,Pamela,,Murray,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,6398,South Abington Sch,2015-2016,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lackawanna,Open,10/08/1998,,(570)585-2100,,640 Northern Boulevard,P.O. Box 163,Chinchilla,PA,18410,    ,640 Northern Boulevard,P.O. Box 163,Chinchilla,PA,18410,    ,Principal,Dr,Amy,,Williams,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,6839,Abington Heights MS,2015-2016,"5-6,7-8",ELEMENTARY/SECONDARY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Lackawanna,Open,08/22/1990,,(570)585-4300,,1555 Newton Ransom Blvd,,Clarks Summit,PA,18411,,1555 Newton Ransom Blvd,,Clarks Summit,PA,18411,,Principal,Mr,Michael,,Elia,,,
119350303,Abington Heights SD,School District,19,Northeastern Educational IU 19,Lackawanna,Open,06/08/1999,http://www.ahsd.org,200 E Grove St,,Clarks Summit,PA,18411,1776,200 E Grove St,,Clarks Summit,PA,18411,1776,(570)586-2511,,Superintendent,Mr,Michael,,Mahon,,(570)586-2511,,Regular School,119350303,7570,Clarks Summit El Sch,2015-2016,"K5H,1-4",ELEMENTARY,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lackawanna,Open,05/14/1999,,(570)585-7300,,401 W Grove St,,Clarks Summit,PA,18411,2025,401 W Grove St,,Clarks Summit,PA,18411,2025,Principal,Mr,Marc,,Wyandt,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3226,Rydal East Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/05/2000,,(215)884-1308,,1160 Huntingdon Pike,,Huntingdon Valley,PA,19006,8325,1160 Huntingdon Pike,,Huntingdon Valley,PA,19006,8325,Principal,Ms,Stephanie,,Viola,,,
123460302,Abington SD,School District,23,Montgomery County IU 23,Montgomery,Open,11/05/1999,http://www.abington.k12.pa.us,970 Highland Ave,,Abington,PA,19001,4535,970 Highland Ave,,Abington,PA,19001,4535,(215)884-4700,,Superintendent,Dr,Amy,F,Sichel,,(215)884-4700,,Regular School,123460302,3229,Highland Sch,2015-2016,K5F-6,ELEMENTARY,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Montgomery,Open,07/15/1999,,(215)884-1048,,1301 Edge Hill Rd,,Abington,PA,19001,,1301 Edge Hill Rd,,Abington,PA,19001,,Principal,Dr,Marianne,C,Kaemmer,,,
