SAT Averages - 2015,,,,,,,,
This file includes public school level SAT averages scores by test and the number of students tested.  ,,,,,,,,
"Each test (Readingl, Math and Writing) ranges from 200 through 800.",,,,,,,,
An asterisk (*) indicates that less than 11 students participated.,,,,,,,,
The data posted below represents students expected to graduate in 2015,,,,,,,,
"In other instances, a school may have 2 different AI CODES assigned. These schools may have 2 distinct records.",,,,,,,,
,,,,,,,,
AUN,LEA,School Nbr.,School Name,N Tested,Reading Average,Math Average,Writing Average,Compostie Average
124150002,21st Century Cyber CS,7691,21st Century Cyber CS,47,521,492,486,1499
119350303,Abington Heights SD,5091,Abington Heights HS,224,549,557,534,1640
123460302,Abington SD,3241,Abington SHS,449,514,521,501,1536
102020003,Academy CS,7846,Academy CS,12,343,344,307,993
125230001,Achievement House CS,7824,Achievement House CS,18,447,417,414,1278
126514368,ACT Academy Cyber CS,8217,ACT Academy Cyber CS,7,*,*,*,*
126510020,Agora Cyber CS,7858,Agora Cyber CS,204,468,430,438,1336
101260303,Albert Gallatin Area SD,6001,Albert Gallatin Area SHS,134,453,450,425,1328
127040503,Aliquippa SD,8086,Aliquippa JSHS,41,406,416,374,1196
103020603,Allegheny Valley SD,29,Springdale JSHS,50,488,490,458,1436
106160303,Allegheny-Clarion Valley SD,4664,Allegheny-Clarion Valley HS,35,480,480,465,1425
121390302,Allentown City SD,2795,Louis E Dieruff HS,178,408,414,386,1208
121390302,Allentown City SD,2794,William Allen HS,178,436,431,409,1275
108070502,Altoona Area SD,913,Altoona Area HS,304,482,489,463,1434
127040703,Ambridge Area SD,6555,Ambridge Area HS,117,498,508,462,1468
113380303,Annville-Cleona SD,2725,Annville Cleona HS,67,521,535,491,1546
114060503,Antietam SD,820,Antietam MS/HS,45,464,446,433,1343
128030603,Apollo-Ridge SD,2320,Apollo-Ridge HS,47,459,456,455,1371
168518013,ARISE Academy Charter High School,8122,ARISE Academy Charter High School,7,*,*,*,*
128030852,Armstrong SD,6575,Ford City JSHS,59,483,496,449,1428
128030852,Armstrong SD,596,Kittanning SHS,88,486,497,451,1434
128030852,Armstrong SD,7640,West Shamokin JSHS,60,505,493,459,1456
117080503,Athens Area SD,958,Athens Area HS,72,494,499,486,1479
109530304,Austin Area SD,6222,Austin Area JSHS,8,*,*,*,*
101630504,Avella Area SD,4165,Avella Area JSHS,17,477,462,455,1394
124150003,Avon Grove CS,7721,Avon Grove CS,45,556,529,530,1615
124150503,Avon Grove SD,1367,Avon Grove HS,334,520,535,509,1563
103020753,Avonworth SD,5199,Avonworth HS,69,531,546,511,1588
110141003,Bald Eagle Area SD,1335,Bald Eagle Area JSHS,64,479,502,457,1438
103021102,Baldwin-Whitehall SD,50,Baldwin SHS,252,486,496,463,1446
120480803,Bangor Area SD,3434,Bangor Area HS,141,486,499,462,1446
127040001,Beaver Area Academic CS,7847,Beaver Area Academic CS,2,*,*,*,*
127041203,Beaver Area SD,640,Beaver Area SHS,111,514,525,483,1522
108051003,Bedford Area SD,726,Bedford SHS,77,498,506,467,1470
107650603,Belle Vernon Area SD,4930,Belle Vernon Area HS,151,504,489,494,1487
110141103,Bellefonte Area SD,1343,Bellefonte Area HS,130,508,509,480,1497
108071003,Bellwood-Antis SD,917,Bellwood-Antis HS,71,511,528,510,1549
122091002,Bensalem Township SD,5116,Bensalem Twp HS,263,469,498,455,1422
116191004,Benton Area SD,1595,Benton Area MSHS,30,498,489,476,1462
101630903,Bentworth SD,4188,Bentworth SHS,44,482,474,446,1402
108561003,Berlin Brothersvalley SD,6207,Berlin Brothersvalley SHS,38,487,482,454,1422
112011103,Bermudian Springs SD,3,Bermudian Springs HS,101,484,504,464,1452
116191103,Berwick Area SD,1605,Berwick Area HS,133,494,506,459,1459
103021252,Bethel Park SD,62,Bethel Park HS,307,524,534,516,1574
120481002,Bethlehem Area SD,4957,Freedom HS,262,507,504,491,1502
120481002,Bethlehem Area SD,3465,Liberty HS,334,502,500,477,1480
101631003,Bethlehem-Center SD,4181,Bethlehem-Center SHS,52,462,437,417,1316
127041503,Big Beaver Falls Area SD,649,Beaver Falls Area SHS,45,469,473,452,1395
115210503,Big Spring SD,1677,Big Spring HS,102,496,484,474,1454
127041603,Blackhawk SD,6707,Blackhawk HS,116,520,508,498,1526
108110603,Blacklick Valley SD,5135,Blacklick Valley JSHS,9,*,*,*,*
128321103,Blairsville-Saltsburg SD,4706,Blairsville SHS,52,485,510,444,1440
128321103,Blairsville-Saltsburg SD,2353,Saltsburg MS/HS,31,465,498,441,1404
116191203,Bloomsburg Area SD,1612,Bloomsburg Area HS,84,529,514,499,1542
129540803,Blue Mountain SD,3891,Blue Mountain HS,153,513,522,492,1527
119581003,Blue Ridge SD,4034,Blue Ridge HS,51,495,493,455,1443
114060753,Boyertown Area SD,6306,Boyertown Area SHS,311,506,512,503,1521
185515523,Boys Latin of Philadelphia CS,7981,Boys Latin of Philadelphia CS,101,414,416,399,1229
109420803,Bradford Area SD,4691,Bradford Area HS,129,489,479,455,1424
114060853,Brandywine Heights Area SD,6308,Brandywine Heights HS,63,526,522,507,1554
103021453,Brentwood Borough SD,70,Brentwood SHS,64,495,478,459,1433
122091303,Bristol Borough SD,1014,Bristol HS,53,424,446,408,1278
122091352,Bristol Township SD,1029,Truman SHS,202,449,457,430,1336
106330703,Brockway Area SD,2362,Brockway Area JSHS,32,518,540,489,1546
106330803,Brookville Area SD,6162,Brookville JSHS,66,501,486,476,1464
