AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
372223637,(PANG) Pennsylvania National Guard Counterdrug Program,Act 48 Independent Provider,,,Dauphin,Open,06/07/2007,(717)861-2319,,,BLG 8-65,Fort Indiantown Gap,Annville,PA,17003,5002,BLG 8-65,Fort Indiantown Gap,Annville,PA,17003,5002,,,,,,,,,,,
300070001,1 2 GROW ON CHILDCARE AND PRESCHOOL INC,Miscellaneous,,,Blair,Open,10/18/2002,(814)944-8330,,,231 Howard Avenue,,Altoona,PA,16601,,231 Howard Avenue,,Altoona,PA,16601,,Director,Ms,MICHELE,A,LEPORE,,,,,,
397513876,"1-2-3 Bingo Driving School, LLC",Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,07/27/2011,(215)821-7860,,,542 West Duncannon Ave 1st Floor,,Philadelphia,PA,19120,,542 West Duncannon Ave 1st Floor,,Philadelphia,PA,19120,,Director,,Victor,V,Gill,,(215)821-7860,,,,
396511436,123 Back to Basics LLC,Miscellaneous,,,Philadelphia,Open,04/23/2015,(215)724-2134,,,1557 South 58th St,,Philadelphia,PA,19143,,1557 South 58th St,,Philadelphia,PA,19143,,Director,Ms,Robin,T,Johne,,(215)724-2134,,,,
380099530,"1ST Class Driving School, Inc.",Private Driver Training School,23,Montgomery County IU 23,Montgomery,Open,03/19/2009,(215)740-2841,,,804 Monroe Drive,,Harleysville,PA,19438,,804 Monroe Drive,,Harleysville,PA,19438,,Director,,, ,Vacant,,(215)469-0099,,,,
380099530,"1ST Class Driving School, Inc.",Private Driver Training School,23,Montgomery County IU 23,Montgomery,Open,03/19/2009,(215)740-2841,,,804 Monroe Drive,,Harleysville,PA,19438,,804 Monroe Drive,,Harleysville,PA,19438,,Director,,Mostafa, ,Jamal,,(215)740-2841,,,,
300519930,21st Cent Chrst Ln C IN,"Other Private, Non-Licensed Entity",26,Philadelphia IU 26,Philadelphia,Open,07/06/1990,(215)389-4277,,,1253 S 18th St # 55,,Philadelphia,PA,19146,3046,1253 S 18th St # 55,,Philadelphia,PA,19146,3046,,,,,,,,,,,
312280001,21st Century Community Learning Center,Miscellaneous,12,Lincoln IU 12,Franklin,Open,03/31/2005,(717)262-0050,,,370A West Commerce Street,,Chambersburg,PA,17201,,370A West Commerce Street,,Chambersburg,PA,17201,,,,,,,,,,,,
124150002,21st Century Cyber CS,Charter School                          ,24,Chester County IU 24,Chester,Open,06/21/2001,(484)875-5400,,http://www.21stcenturycyber.org,126 Wallace Ave.,,Downingtown,PA,19335,    ,126 Wallace Ave.,,Downingtown,PA,19335,    ,Chief Executive Officer,Ms,Kim,,McCully,,(484)875-5458,,,,
300450000,4 Seasons Driving School Inc,Private Driver Training School,20,Colonial IU 20,Monroe,Open,03/25/1997,(570)420-9394,,,5106 Windsor Drive,,Stroudsburg,PA,18360,,5106 Windsor Drive,,Stroudsburg,PA,18360,,Director,,, ,Vacant,,(717)620-2184,,,,
300450000,4 Seasons Driving School Inc,Private Driver Training School,20,Colonial IU 20,Monroe,Open,03/25/1997,(570)420-9394,,,5106 Windsor Drive,,Stroudsburg,PA,18360,,5106 Windsor Drive,,Stroudsburg,PA,18360,,Director,,David,B,Loncki,,(570)629-5814,,,,
376634645,4-H Clubs & Affiliated 4-H Org DBA SW Regional 4-H Fund,Miscellaneous,,,Washington,Open,04/17/2013,(724)548-3447,,,100 West Beau Street,Suite 601,Washington,PA,15301,4473,100 West Beau Street,Suite 601,Washington,PA,15301,4473,Director,Ms,Toni,,Grafton,,(724)548-3447,,,,
304430000,43Crossroads II,Miscellaneous,4,Midwestern IU 4,Mercer,Open,09/01/2004,,,,1301 Roemer Blvd.,,Farrell,PA,16121,1747,1301 Roemer Blvd.,,Farrell,PA,16121,1747,,,,,,,,,,,
226510039,63rd Street Multicultural Academy of Academic Excellence,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,08/25/2008,(215)240-6721,,,PO Box 28756,"c/o Nikkita Shoatz-Ahma, Principal",Philadelphia,PA,19151,,1141 N. 63rd Street,,Philadelphia,PA,19151,,Principal,Ms,Nikkita,,Shoatz-Ahmad,,,,,,
226510075,63rd Street Multicultural Academy of Academic Excellence,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,03/01/2012,(215)240-6721,,,PO Box 28756,,Philadelphia,PA,19151,,1139 N. 63rd Street,,Philadelphia,PA,19151,,Principal,,Nikkita,,Nikkita Shoatz-Ahmad,,,,,,
226510079,63rd Street Multicultural Academy of Acdaemic Excellence,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,03/01/2012,(267)977-2542,,,PO Box 28756,,Philadelphia,PA,19151,,5348-59 Wynnewood Avenue,,Philadelphia,PA,19139,,Principal,Mrs,Nikkita,,Shoatz-Ahmad,,,,,,
300230020,A & B Driving School ,Private Driver Training School,25,Delaware County IU 25,Delaware,Open,07/06/1990,(610)358-5577,,,132 E Eagle Road,,Havertown,PA,19083,,132 E Eagle Road,,Havertown,PA,19083,,Director,,James,E,Carlisle,,(610)449-1602,,,,
300390100,A B E Driving School ,Private Driver Training School,20,Colonial IU 20,Northampton,Open,07/06/1990,(610)865-4100,,,1807 Chardonnay St,,Easton,PA,18045,,1807 Chardonnay St,,Easton,PA,18045,,Director,,Robert, ,McFeeley,,(215)865-4100,,,,
379027505,A B Grogan Enterprises Inc DBA Sunny Days Learning Center,Miscellaneous,,,Allegheny,Open,08/05/2015,(412)220-0284,,,426 Shady Avenue,,Bridgeville,PA,15017,1962,426 Shady Avenue,,Bridgeville,PA,15017,1962,Director,Ms,Arlene,B,Grogan,,(412)220-0284,,,,
